song_id,genre,year,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,duration,end_of_fade_in,loudness,song_hotttnesss,tempo
TRARREF128F422FD96,Punk,1982,10,0.325,1,0.286,4,0.879,216.842,0.0,-4.264,0.7883881833222074,92.897
TRARUOP12903CF2384,Metal,2004,0,0.489,0,0.596,4,0.42,283.48036,0.113,-4.076,0.6878737149731753,84.992
TRARUHU128F92FDC00,Rap,0,1,0.421,1,0.155,5,0.677,393.63873,0.179,-6.619,0.5435242770791181,135.503
TRARUTP128E0797FC7,Rock,2000,4,0.247,1,0.464,4,0.873,208.95302,3.245,-6.052,0.8722290226088538,105.095
TRARIRG128F147FC96,Pop,1981,5,0.682,0,0.672,4,0.753,154.93179,0.107,-15.433,0.5968407035530287,100.042
TRARIIY128F147187D,Rock,0,9,0.87,1,0.637,1,0.0,241.08363,0.078,-8.021,0.5384224029706356,99.761
TRARIZK128F92FF27A,Rock,1973,5,0.785,1,0.609,4,1.0,199.96689,0.45,-20.172,,110.1
TRARGLY128F935AAD5,Rock,1978,4,0.861,1,0.954,3,0.884,219.01016,0.0,-7.687,0.2884816426560289,134.985
TRARZBX12903CD70DA,Electronic,2000,5,0.64,1,0.705,4,0.887,199.8624,0.287,-21.82,0.5040343408054411,131.281
TRARZBR128F934715D,Latin,2005,9,0.385,1,0.32,4,0.284,253.90975,0.107,-5.548,0.5763999812554107,136.945
TRARTEH128F423DBC1,Rock,2007,1,0.623,1,0.763,5,0.68,237.21751,0.0,-7.057,0.476435219642529,188.91
TRARTJL128F92CB44B,Rock,1986,1,1.0,1,0.808,4,0.203,311.27465,0.328,-4.857,,139.95
TRARTSA128F4291550,Metal,2005,9,0.437,1,0.353,3,1.0,286.58893,0.165,-4.627,0.5367888864406624,97.265
TRARTCZ128F427A176,Blues,1995,0,0.715,1,0.736,4,0.27,180.40118,3.622,-12.931,0.42744657148843085,63.255
TRARSMV128F1469CCF,Reggae,0,7,0.718,1,0.758,4,0.031,246.54322,0.27,-11.912,0.0,110.873
TRARSKA128F9336A04,Pop,2009,1,0.309,1,0.409,5,1.0,465.47546,0.0,-6.278,,131.999
TRARSZV12903CDB2DE,Blues,1997,7,0.007,0,0.239,4,0.338,190.06649,0.321,-14.023,0.6183523886236763,129.584
TRARAIO128E0780FDE,Rock,2003,7,0.725,1,0.735,1,0.0,229.642,0.0,-14.848,,74.576
TRARANL128F1478789,Rock,2006,3,0.301,0,0.336,4,0.0,181.57669,0.0,-3.696,,209.141
TRARFWJ128F9339D70,Rock,2005,5,0.399,0,0.476,4,0.271,370.02404,38.249,-13.538,,243.981
TRARFXI128F1468CE3,Blues,1993,7,0.27,1,0.227,4,0.536,356.25751,0.0,-11.893,0.42744657148843085,94.557
TRARFQL128F931E523,Pop,0,1,0.783,1,0.693,4,0.0,263.05261,0.0,-6.502,0.6708272196006915,129.997
TRARFSI128F92C5B06,Pop,0,10,0.432,0,0.515,4,0.429,257.48853,0.375,-7.762,0.22154865991439518,117.988
TRARFAZ128F93481AD,Rock,2009,7,0.819,1,0.585,1,0.0,250.8273,0.0,-4.535,0.6378288661822131,99.995
TRAROQC128F4273979,Latin,1998,2,0.549,1,0.586,4,0.837,231.75791,0.531,-7.174,,123.861
TRARODV128F1460DBC,Rock,2002,9,0.074,1,0.328,4,0.723,264.41098,0.072,-5.011,0.6528783924763947,142.069
TRAROPZ128F42A8AB2,Electronic,2006,5,0.514,0,0.483,4,0.0,344.68526,11.418,-8.627,0.3603705827121406,190.038
